Year,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours
2022,4178171.17592,675263.6246,1802062.49782,775347.151,239854.61872,425235.40242,238120.45501
2021,4230672.23282,831511.61207,1687066.71623,771537.17649,254788.66707,434297.35817,205079.15202
2020,4109699.38984,897998.75992,1579189.98739,779644.595,251584.84235,378196.77482,164422.44991
2019,4009766.84571,773392.89709,1626789.64004,789878.863,285273.89483,337938.04903,130721.09466
2018,4130573.87941,964956.8115,1588532.83948,809409.262,287873.7305,295882.48349,106894.26946
2017,4180987.70273,1149487.33858,1471843.03124,807084.477,292523.9888,272667.45372,93364.58911
2016,4035442.89483,1205835.27593,1297702.52811,804949.635,300332.92966,254302.69522,77277.14752
2015,4077573.80052,1239148.65432,1379270.92193,805693.948,267812.15308,226992.56213,54866.49178
2014,4078713.77229,1352398.19668,1334668.00285,797177.877,249080.08484,190718.54771,39032.17088
2013,4093564.14183,1581710.34974,1126635.11633,797165.982,259366.62186,181655.2818,28923.68989
2012,4065964.06746,1581114.7158,1124835.55984,789016.473,268565.38273,167839.74544,
2011,4047765.26668,1514042.94453,1225894.17537,769331.249,276240.2193,140821.71472,
2010,4100140.92612,1733430.00534,1013688.92924,790204.367,319354.90345,120176.59863,
2009,4125059.89892,1847290.27851,987697.23368,806968.30056,260203.06938,94652.24608,
2008,3950330.92649,1755904.25296,920978.68052,798854.585,273445.09417,73886.13171,
2007,4119387.75955,1985801.24666,882980.59905,806208.435,254831.38511,55363.10007,
2006,4156744.72385,2016455.58352,896589.79109,806424.753,247509.97431,34449.9274,
2005,4064702.22741,1990511.13453,816440.7696,787218.636,289246.41565,26589.13699,
2004,4055422.74967,2012873.04581,760960.25439,781986.365,270321.25494,17810.54902,
2003,3970555.26328,1978300.54918,710100.01654,788528.387,268417.30836,14143.74074,
2002,3883185.205,1973736.75,649907.541,763732.695,275806.328,11187.467,
2001,3858452.254,1933130.354,691005.745,780064.087,264328.833,10354.279,
2000,3736643.653,1903955.943,639129.12,768826.308,216961.044,6737.332,
