time,TOTAL GREEN HYDROGEN DEMAND
2022.0,0.0
2022.05,2390.996771624148
2022.1,4795.415521836893
2022.15,7212.745454582053
2022.2,9642.522115615899
2022.25,12084.32462387774
2022.3,14537.773005474963
2022.35,17002.525630802942
2022.4,19478.276755075
2022.45,21965.25061706599
2022.5,24464.093498942646
2022.55,26975.7801109161
2022.6,29501.53275759048
2022.65,32042.75188348792
2022.7,34600.95673210858
2022.75,37177.73498183617
2022.8,39774.70034077049
2022.85,42393.457190229754
2022.9,45035.571463168904
2022.95,47702.54702960881
2023.0,50395.80693718892
2023.05,53116.678922126484
2023.1,55866.38466521855
2023.15,58646.03503759611
2023.2,61456.622859035546
2023.25,64298.94948383064
2023.3,67174.31931260848
2023.35,70084.40509800009
2023.4,73031.13051144616
2023.45,76016.5772989264
2023.5,79042.90641908399
2023.55,82112.29176631759
2023.6,85226.86517151052
2023.65,88388.67146408117
2023.7,91599.63246888776
2023.75,94861.51889882407
2023.8,98175.92918782853
2023.85,101544.27438897884
2023.9,104967.76833808834
2023.95,108447.42235466288
2024.0,111984.04381922231
2024.05,115578.23802892442
2024.1,119230.41279226894
2024.15,122940.78991298727
2024.2,126709.40926719422
2024.25,130536.1388861032
2024.3,134420.68613361093
2024.35,138362.6096778853
2024.4,142361.33199354
2024.45,146416.15216540595
2024.5,150526.2587964601
2024.55,154690.74285128116
2024.6,158908.68189107443
2024.65,163179.66021902926
2024.7,167503.64759891047
2024.75,171880.89760529844
2024.8,176311.8630299563
2024.85,180797.12605521368
2024.9,185337.41779675055
2024.95,189933.55460495397
2025.0,194586.38635601063
2025.05,199486.38658066362
2025.1,204452.91163168979
2025.15,209486.9774084672
2025.2,214593.05573276366
2025.25,219778.30493259354
2025.3,225051.9127735169
2025.35,230424.53825127828
2025.4,235907.84013377564
2025.45,241514.0814246555
2025.5,247255.80010454167
2025.55,253145.53758540534
2025.6,259195.61729010087
2025.65,265417.966646987
2025.7,271823.9765750574
2025.75,278424.4067905657
2025.8,285229.3121184069
2025.85,292248.26980731025
2025.9,299491.37812726496
2025.95,306968.91225330485
2026.0,314691.0449604874
2026.05,322667.7708892093
2026.1,330908.69722615485
2026.15,339422.8986844107
2026.2,348218.77724468795
2026.25,357303.97170719854
2026.3,366685.4030601062
2026.35,376369.3131776354
2026.4,386361.29828483344
2026.45,396666.33839413914
2026.5,407288.82371304405
2026.55,418232.578841435
2026.6,429500.88542006846
2026.65,441096.50375603966
2026.7,453021.69383492484
2026.75,465278.23603038385
2026.8,477867.45173842297
2026.85,490790.2240934043
2026.9,504047.0188645955
2026.95,517637.9055841181
2027.0,531562.578918248
2027.05,545821.3680638376
2027.1,560415.0310687425
2027.15,575344.6254240859
2027.2,590611.3286222897
2027.25,606216.4850057571
2027.3,622161.583788249
2027.35,638447.6757152077
2027.4,655075.6126499425
2027.45,672049.40917706
2027.5,689375.7071991537
2027.55,707062.6283763286
2027.6,725119.4182628079
2027.65,743555.9597191475
2027.7,762383.4117426517
2027.75,781613.6275551964
2027.8,801257.984404622
2027.85,821327.8251657865
2027.9,841834.8511260976
2027.95,862790.1978408776
2028.0,884204.2661165325
2028.05,905973.7852894221
2028.1,928218.6866997723
2028.15,951062.0628876281
2028.2,974395.0830232995
2028.25,998221.3767952365
2028.3,1022543.9425278844
2028.35,1047365.0302013871
2028.4,1072686.40159172
2028.45,1098509.1723668335
2028.5,1124833.824952522
2028.55,1151660.5585470742
2028.6,1178988.8002859284
2028.65,1206817.357546126
2028.7,1235144.5488647183
2028.75,1263968.2527983165
2028.8,1293285.959234046
2028.85,1323094.8220754608
2028.9,1353250.0045042997
2028.95,1383890.4353130762
2029.0,1415015.6743696213
2029.05,1446625.117550422
2029.1,1478718.037228542
2029.15,1511445.9767164674
2029.2,1544660.655629463
2029.25,1578363.5360955691
2029.3,1612557.3422586943
2029.35,1647245.6843099599
2029.4,1682432.7494862406
2029.45,1718123.050905764
2029.5,1754321.2261955715
2029.55,1791031.8817916533
2029.6,1828259.4733065972
2029.65,1866008.2165700695
2029.7,1904282.024618636
2029.75,1942906.0104467045
2029.8,1982059.5459083493
2029.85,2021748.7905149502
2029.9,2061980.4368122844
2029.95,2102755.293461416
2030.0,2144073.3002302023
2030.05,2185934.4530958133
2030.1,2228528.277701638
2030.15,2272045.202836248
2030.2,2316285.412449165
2030.25,2361244.399170407
2030.3,2406919.2781203445
2030.35,2453308.3966028
2030.4,2500411.011936074
2030.45,2548227.0278489734
2030.5,2596760.6180866663
2030.55,2646015.4478237224
2030.6,2695992.9129500412
2030.65,2746470.384545349
2030.7,2797670.617979804
2030.75,2849594.9512032513
2030.8,2902243.674804678
2030.85,2955616.2300377297
2030.9,3009711.3844000576
2030.95,3064527.386914964
2031.0,3120062.10502865
2031.05,3176313.1448409013
2031.1,3233277.9562205016
2031.15,3291204.3058944684
2031.2,3349853.2528131446
2031.25,3409225.55348134
2031.3,3469320.6110461177
2031.35,3530141.406826263
2031.4,3591693.7494523143
2031.45,3653985.6367217335
2031.5,3717026.7155778664
2031.55,3780827.8162133764
2031.6,3845123.8395075765
2031.65,3910200.5289119584
2031.7,3976070.1704411944
2031.75,4042744.11831674
2031.8,4110232.8412291333
2031.85,4178545.971388559
2031.9,4247692.355086594
2031.95,4317680.103689389
2032.0,4388516.644167747
2032.05,4460208.768437615
2032.1,4532762.680933398
2032.15,4606490.461829331
2032.2,4681094.357476041
2032.25,4756579.266992694
2032.3,4832950.600165433
2032.35,4910214.0951425275
2032.4,4988375.666152501
2032.45,5067441.277005486
2032.5,5147089.788463613
2032.55,5227650.896707082
2032.6,5309130.146216853
2032.65,5391531.875878303
2032.7,5474859.389993615
2032.75,5559115.105952219
2032.8,5644300.681130709
2032.85,5730417.1213082
2032.9,5817464.052757572
2032.95,5905440.038508213
2033.0,5994342.842720067
2033.05,6084169.652302561
2033.1,6174917.25853963
2033.15,6266942.304159729
2033.2,6359884.534480352
2033.25,6453740.533735575
2033.3,6548507.849609103
2033.35,6644184.824586248
2033.4,6740770.444221881
2033.45,6838264.200629067
2033.5,6936286.793746714
2033.55,7035214.693182072
2033.6,7135048.229572416
2033.65,7235786.871588367
2033.7,7337429.3635534905
2033.75,7439973.838351614
2033.8,7543417.909019701
2033.85,7647758.741998743
2033.9,7752993.1146516865
2033.95,7859117.459344238
2034.0,7966127.896111965
2034.05,8074020.255698579
2034.1,8182785.400879148
2034.15,8292811.047033774
2034.2,8403687.87444904
2034.25,8515410.920862861
2034.3,8627976.0000109
2034.35,8741379.496391281
2034.4,8855618.186087381
2034.45,8970267.644577783
2034.5,9085744.039491614
2034.55,9202044.486947348
2034.6,9319165.033122811
2034.65,9437100.787266927
2034.7,9555846.034062147
2034.75,9675394.328150563
2034.8,9795738.594742157
2034.85,9916871.212608788
2034.9,10038784.081920002
2034.95,10161468.679106008
2035.0,10284916.100692177
2035.05,10409117.097832926
2035.1,10534062.103077713
2035.15,10660186.772808308
2035.2,10787038.039281033
2035.25,10914605.73960896
2035.3,11042880.386045264
2035.35,11171854.899536315
2035.4,11301523.702394933
2035.45,11431421.167093337
2035.5,11561993.84653432
2035.55,11693233.026280519
2035.6,11825128.829954736
2035.65,11957670.368790602
2035.7,12090845.872665003
2035.75,12224642.8050245
2035.8,12359047.963807445
2035.85,12494047.570199333
2035.9,12629627.346831623
2035.95,12765772.586836994
2036.0,12902468.041869514
2036.05,13039698.261226613
2036.1,13177447.614492817
2036.15,13316175.146993883
2036.2,13455392.038215604
2036.25,13595082.383187946
2036.3,13735231.0999141
2036.35,13875823.736977806
2036.4,14016363.820553817
2036.45,14157318.883350482
2036.5,14298675.541640993
2036.55,14440419.600736398
2036.6,14582536.207565542
2036.65,14725009.985234663
2036.7,14867825.151667606
2036.75,15010965.624167576
2036.8,15154415.111520063
2036.85,15298157.195066111
2036.9,15442175.4000098
2036.95,15586453.258079162
2037.0,15730974.362532206
2037.05,15875722.416386927
2037.1,16020681.27465371
2037.15,16166331.030871239
2037.2,16312161.590255145
2037.25,16458157.787352305
2037.3,16604305.665764585
2037.35,16750592.517575823
2037.4,16896503.84724474
2037.45,17042529.565780327
2037.5,17188658.86544239
2037.55,17334880.46486178
2037.6,17481182.74998035
2037.65,17627553.896346472
2037.7,17773981.974916022
2037.75,17920455.043251157
2037.8,18066961.223789558
2037.85,18213488.770667806
2037.9,18360026.083397634
2037.95,18506561.768946838
2038.0,18653084.693424948
2038.05,18799584.02462187
2038.1,18946049.266514204
2038.15,19093006.2711341
